id,event,start,end,session,sessionTitle,type,title,authors,presenter,abstract,image,doi
1,BioVis,10:20,11:20,session1,Opening,Keynote,Visualisation as a Partner to AI and Machine Learning in Drug Discovery,Lindsay Edwards,,,,
295,BioVis,11:20,11:40,session1,Opening,Long Talk 1,Epilogos: information-theoretic navigation of multi-tissue functional genomic annotations,"Alex Reynolds, Eric Rynes, Manolis Kellis and Wouter Meuleman",,,,
276,BioVis,11:40,11:50,session1,Opening,Short Talk,GeneDMRs: an R package for Gene-based Differentially Methylated Regions analysis,Xiao Wang and Haja Kadarmideen,,,,
887,BioVis,11:50,12:00,session1,Opening,Short Talk,The gene Expression and Analysis Resource (gEAR) Portal,"Joshua Orvis, Brian Gottfried, Dustin Olley, Jayaram Kancherla, Beatrice Milon, Kevin Rose, Yang Song, Hector Bravo, Anup Mahurkar and Ronna Hertzano",,,,
1019,BioVis,12:00,12:10,session1,Opening,Short Talk,Proactive Visual and Statistical Analysis of Genomic Data in Epiviz,"Zhe Cui, Jayaram Kancherla, Niklas Elmqvist and Hector Corrada Bravo",,,,
945,BioVis,12:10,12:20,session1,Opening,Short Talk,ImmuneRegulation: A web based tool for identifying human immune regulatory elements,"Selim Kalayci, Myvizhi Esai Selvan, Irene Ramos, Chris Cotsapas, Eva Harris, Ruth R. Montgomery, Gregory Poland, Bali Pulendran, John S. Tsang, Robert J. Klein and Zeynep H. Gümüş",,,,
186,BioVis,12:20,12:30,session2,Tools and Techniques I,Poster Talk,"Addressing Scientific Reproducibility with Data Sharing Platforms: INTERVALS, a case study","Sylvain Gubian, Adrian Stan, Stephanie Boue, Julia Hoeng and Manuel Peitsch",,,,
197,BioVis,12:20,12:30,session2,Tools and Techniques I,Poster Talk,Advanced Visualization of Data Comparisons with BiocompR,Yoann Pageaud and Pavlo Lutsik,,,,
625,BioVis,12:20,12:30,session2,Tools and Techniques I,Poster Talk,Nightingale: A library of re-usable data visualisation components,"Xavier Watkins, Daniel Rice, Gustavo Salazar, Leyla Garcia and Aurelien Luciani",,,,
903,BioVis,12:20,12:30,session3,Tools and Techniques I,Poster Talk,Interoperable web-based data visualisation components for the future: Working towards BioJS 3.0,Dennis Schwartz and Yochannah Yehudi,,,,
384,BioVis,12:30,12:40,session3,Applications I,Poster Talk,A network-based approach for visualization and simplification of single-cell RNA sequencing data,"Mariia O. Bilous, Santiago J. Carmona and David Gfeller",,,,
608,BioVis,12:30,12:40,session3,Applications I,Poster Talk,GenesetPCA for multi-variate model interpretation,"Rachel Cavill, Nordine Aouni, Luc Linders, David Robinson, Len Vandelaer and Jessica Wiezorek",,,,
814,BioVis,12:30,12:40,session3,Applications I,Poster Talk,Cliques of single-cell RNA-seq profiles reveal insights into cell ecology during development and differentiation,Baihan Lin,,,,
1234,BioVis,12:30,12:40,session3,Applications I,Poster Talk,Enhancing gene set enrichment using networks,Michael Prummer,,,,
1395,BioVis,12:30,12:40,session3,Applications I,Poster Talk,GO Cluster Finder: Visualization tool to identify gene clusters that are composed of functionally related genes,"Mingeun Ji, Jaehee Jung, Jeongkyu Kim and Gangman Yi",,,,
9,BioVis,14:00,15:00,session4,Afternoon,Keynote,"Physical, Contextual, and Full of Value? What do novel directions in Visualization teach us about judging the value of visualization?",Petra Isenberg,,,,
987,BioVis,15:00,15:20,session4,Afternoon,Long Talk,Combining programmatic visualization and interactive exploration of large phylogenetic trees using ETE toolkit,Jaime Huerta-Cepas,,,,
1030,BioVis,15:20,15:30,session4,Afternoon,Short Talk,Flud: a hybrid crowd-algorithm approach for visualizing biological networks,"Aditya Bharadwaj, David Gwizdala, Yoonjin Kim, Kurt Luther and T. M. Murali",,,,
808,BioVis,15:30,15:40,session4,Afternoon,Short Talk,Evidente – A visual analytics tool for data enrichment in SNP-based phylogenetic tre,"Mathias Witte Paz, Alexander Seitz and Kay Nieselt",,,,
224,BioVis,15:40,15:50,session4,Afternoon,Short Talk,BioCicle: A Tool for Summarizing and Comparing Taxonomic Profiles out of Biological Sequence Alignments,"Meili Vanegas-Hernandez, Fabio Andres Lopez-Corredor, Tiberio Hernandez, Alejandro Reyes and John Alexis Guerra-Gomez",,,,
